,location,total_sqft,bath,price,bedroom,pricepersqft
102,7th Phase JP Nagar,1190.0,2.0,49.98,2,4200.0
103,7th Phase JP Nagar,1420.0,2.0,96.0,3,6760.56338028169
104,7th Phase JP Nagar,1680.0,3.0,120.0,3,7142.857142857143
105,7th Phase JP Nagar,980.0,2.0,69.0,2,7040.816326530612
106,7th Phase JP Nagar,1180.0,2.0,72.0,2,6101.6949152542375
107,7th Phase JP Nagar,1050.0,2.0,57.0,3,5428.571428571428
108,7th Phase JP Nagar,1343.0,2.0,56.41,3,4200.297840655249
109,7th Phase JP Nagar,1405.0,2.0,59.01,3,4200.0
110,7th Phase JP Nagar,1400.0,3.0,115.0,3,8214.285714285714
111,7th Phase JP Nagar,1270.0,2.0,83.0,2,6535.433070866142
112,7th Phase JP Nagar,3300.0,4.0,150.0,4,4545.454545454545
113,7th Phase JP Nagar,2503.0,4.0,188.0,4,7510.986815821015
114,7th Phase JP Nagar,2200.0,3.0,190.0,3,8636.363636363636
115,7th Phase JP Nagar,1250.0,3.0,65.0,3,5200.0
116,7th Phase JP Nagar,1385.0,2.0,58.17,3,4200.0
117,7th Phase JP Nagar,1575.0,2.0,110.0,3,6984.126984126984
118,7th Phase JP Nagar,1850.0,3.0,140.0,3,7567.5675675675675
119,7th Phase JP Nagar,1575.0,2.0,120.0,3,7619.047619047619
120,7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
121,7th Phase JP Nagar,1680.0,3.0,120.0,3,7142.857142857143
122,7th Phase JP Nagar,1175.0,2.0,82.5,2,7021.276595744681
123,7th Phase JP Nagar,3300.0,4.0,160.0,3,4848.484848484848
124,7th Phase JP Nagar,2200.0,4.0,105.0,3,4772.727272727273
125,7th Phase JP Nagar,1215.0,2.0,90.0,2,7407.407407407408
126,7th Phase JP Nagar,1050.0,2.0,75.0,2,7142.857142857143
127,7th Phase JP Nagar,1300.0,3.0,89.13,3,6856.153846153846
128,7th Phase JP Nagar,1130.0,2.0,73.0,2,6460.1769911504425
129,7th Phase JP Nagar,1450.0,3.0,100.0,3,6896.551724137931
130,7th Phase JP Nagar,1350.0,3.0,58.0,3,4296.2962962962965
131,7th Phase JP Nagar,1050.0,2.0,50.0,2,4761.9047619047615
132,7th Phase JP Nagar,1275.0,2.0,87.0,2,6823.529411764706
133,7th Phase JP Nagar,1460.0,3.0,70.0,3,4794.520547945205
134,7th Phase JP Nagar,1650.0,3.0,110.0,3,6666.666666666667
135,7th Phase JP Nagar,850.0,2.0,42.0,2,4941.176470588235
136,7th Phase JP Nagar,1680.0,3.0,117.0,3,6964.285714285715
137,7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
138,7th Phase JP Nagar,1236.0,2.0,61.33,2,4961.974110032363
139,7th Phase JP Nagar,1000.0,2.0,53.0,2,5300.0
140,7th Phase JP Nagar,1680.0,3.0,125.0,3,7440.476190476191
141,7th Phase JP Nagar,1675.0,2.0,135.0,3,8059.701492537313
142,7th Phase JP Nagar,1187.0,2.0,59.0,2,4970.513900589722
143,7th Phase JP Nagar,1850.0,3.0,155.0,3,8378.378378378378
144,7th Phase JP Nagar,1000.0,2.0,61.0,2,6100.0
145,7th Phase JP Nagar,1460.0,2.0,100.0,3,6849.315068493151
146,7th Phase JP Nagar,1650.0,3.0,110.0,3,6666.666666666667
147,7th Phase JP Nagar,1200.0,2.0,62.5,2,5208.333333333333
148,7th Phase JP Nagar,1000.0,2.0,70.65,2,7065.000000000001
149,7th Phase JP Nagar,1080.0,2.0,75.0,2,6944.444444444444
150,7th Phase JP Nagar,1415.0,3.0,65.0,3,4593.639575971732
151,7th Phase JP Nagar,1680.0,3.0,125.0,3,7440.476190476191
152,7th Phase JP Nagar,1460.0,2.0,97.0,3,6643.835616438356
153,7th Phase JP Nagar,1120.0,2.0,65.0,2,5803.571428571428
154,7th Phase JP Nagar,1100.0,3.0,60.0,2,5454.545454545455
155,7th Phase JP Nagar,1790.0,3.0,120.0,3,6703.91061452514
156,7th Phase JP Nagar,1680.0,3.0,117.0,3,6964.285714285715
157,7th Phase JP Nagar,1050.0,2.0,77.0,2,7333.333333333333
158,7th Phase JP Nagar,1050.0,2.0,75.0,2,7142.857142857143
159,7th Phase JP Nagar,1040.0,2.0,75.0,2,7211.538461538462
160,7th Phase JP Nagar,1400.0,2.0,95.0,3,6785.714285714285
161,7th Phase JP Nagar,1800.0,3.0,130.0,3,7222.222222222223
162,7th Phase JP Nagar,1050.0,2.0,68.0,2,6476.190476190476
163,7th Phase JP Nagar,1000.0,2.0,60.0,2,6000.0
164,7th Phase JP Nagar,1680.0,3.0,125.0,3,7440.476190476191
165,7th Phase JP Nagar,1050.0,2.0,77.47,2,7378.0952380952385
166,7th Phase JP Nagar,1270.0,2.0,80.0,2,6299.212598425197
167,7th Phase JP Nagar,1463.0,2.0,61.45,3,4200.273410799727
168,7th Phase JP Nagar,1680.0,3.0,122.0,3,7261.9047619047615
169,7th Phase JP Nagar,1130.0,2.0,85.0,2,7522.123893805309
170,7th Phase JP Nagar,1680.0,3.0,130.0,3,7738.0952380952385
171,7th Phase JP Nagar,980.0,2.0,77.44,2,7902.040816326531
172,7th Phase JP Nagar,1680.0,3.0,112.0,3,6666.666666666667
173,7th Phase JP Nagar,1515.0,2.0,76.0,3,5016.501650165016
174,7th Phase JP Nagar,2095.0,3.0,150.0,3,7159.904534606205
175,7th Phase JP Nagar,1976.0,3.0,145.0,3,7338.056680161943
176,7th Phase JP Nagar,1600.0,2.0,110.0,3,6875.0
177,7th Phase JP Nagar,1765.0,3.0,118.0,3,6685.552407932011
178,7th Phase JP Nagar,1275.0,2.0,88.0,3,6901.9607843137255
179,7th Phase JP Nagar,1450.0,2.0,102.0,3,7034.482758620689
180,7th Phase JP Nagar,1575.0,2.0,110.0,3,6984.126984126984
181,7th Phase JP Nagar,1075.0,2.0,57.0,3,5302.325581395349
182,7th Phase JP Nagar,750.0,1.0,47.0,1,6266.666666666667
183,7th Phase JP Nagar,990.0,2.0,50.0,2,5050.50505050505
184,7th Phase JP Nagar,1000.0,1.0,60.0,1,6000.0
185,7th Phase JP Nagar,1680.0,2.0,92.0,3,5476.190476190476
186,7th Phase JP Nagar,1430.0,2.0,102.0,3,7132.867132867133
187,7th Phase JP Nagar,1128.0,2.0,60.0,2,5319.148936170212
188,7th Phase JP Nagar,1140.0,2.0,57.0,2,5000.0
189,7th Phase JP Nagar,1420.0,3.0,90.0,3,6338.028169014085
190,7th Phase JP Nagar,1530.0,2.0,108.0,2,7058.823529411765
191,8th Phase JP Nagar,1073.5,2.0,54.005,2,5030.740568234746
192,8th Phase JP Nagar,451.0,1.0,29.9,1,6629.711751662971
193,8th Phase JP Nagar,1240.0,3.0,43.5,3,3508.064516129032
194,8th Phase JP Nagar,1062.0,2.0,42.47,2,3999.0583804143125
195,8th Phase JP Nagar,1230.0,2.0,43.5,3,3536.5853658536585
196,8th Phase JP Nagar,1455.0,3.0,73.31,3,5038.487972508591
197,8th Phase JP Nagar,871.0,2.0,55.0,2,6314.580941446613
198,8th Phase JP Nagar,1098.0,2.0,43.91,2,3999.089253187614
199,8th Phase JP Nagar,1800.0,3.0,80.0,3,4444.444444444444
200,8th Phase JP Nagar,2700.0,4.0,130.0,4,4814.814814814815
201,8th Phase JP Nagar,1080.0,2.0,38.0,2,3518.5185185185187
202,8th Phase JP Nagar,1059.0,2.0,34.5,2,3257.790368271955
203,8th Phase JP Nagar,1080.0,2.0,35.0,2,3240.740740740741
204,8th Phase JP Nagar,1275.0,2.0,41.5,3,3254.901960784314
205,8th Phase JP Nagar,1062.0,2.0,42.47,2,3999.0583804143125
206,8th Phase JP Nagar,500.0,1.0,31.0,1,6200.0
207,8th Phase JP Nagar,1100.0,2.0,35.0,2,3181.818181818182
208,8th Phase JP Nagar,2100.0,4.0,92.0,4,4380.952380952381
209,8th Phase JP Nagar,1035.0,2.0,39.33,2,3800.0
210,8th Phase JP Nagar,909.0,2.0,40.9,2,4499.4499449945
211,8th Phase JP Nagar,1431.5,3.0,72.02,3,5031.086273140063
212,8th Phase JP Nagar,1900.0,4.0,90.0,3,4736.8421052631575
213,8th Phase JP Nagar,500.0,1.0,30.0,1,6000.0
214,8th Phase JP Nagar,1125.0,2.0,36.94,2,3283.5555555555557
215,8th Phase JP Nagar,1100.0,2.0,35.0,2,3181.818181818182
216,8th Phase JP Nagar,1089.0,2.0,43.55,2,3999.0817263544536
217,8th Phase JP Nagar,1605.0,2.0,65.0,3,4049.8442367601247
218,8th Phase JP Nagar,1504.0,2.0,83.0,3,5518.617021276596
219,8th Phase JP Nagar,2600.0,4.0,115.0,4,4423.076923076923
220,8th Phase JP Nagar,1368.0,2.0,54.71,3,3999.2690058479534
221,8th Phase JP Nagar,1089.0,2.0,43.55,2,3999.0817263544536
222,8th Phase JP Nagar,1224.0,2.0,48.95,3,3999.1830065359477
223,8th Phase JP Nagar,1513.0,2.0,62.0,2,4097.818902842036
224,8th Phase JP Nagar,1298.0,2.0,59.0,2,4545.454545454545
225,8th Phase JP Nagar,1006.0,2.0,44.0,2,4373.75745526839
226,8th Phase JP Nagar,500.0,1.0,33.0,1,6600.0
227,8th Phase JP Nagar,1160.0,2.0,95.0,2,8189.6551724137935
228,8th Phase JP Nagar,1245.0,2.0,59.0,2,4738.955823293173
229,8th Phase JP Nagar,1510.0,2.0,80.0,2,5298.013245033113
230,8th Phase JP Nagar,3300.0,3.0,165.0,3,5000.0
231,8th Phase JP Nagar,1730.0,5.0,75.0,5,4335.260115606937
232,8th Phase JP Nagar,1296.0,2.0,51.83,3,3999.2283950617284
233,8th Phase JP Nagar,1275.0,3.0,45.0,3,3529.4117647058824
234,8th Phase JP Nagar,1046.0,2.0,48.0,2,4588.910133843212
235,8th Phase JP Nagar,1269.0,2.0,50.75,3,3999.211977935382
236,8th Phase JP Nagar,1408.0,3.0,80.0,3,5681.818181818182
237,8th Phase JP Nagar,1500.0,2.0,55.0,3,3666.6666666666665
238,9th Phase JP Nagar,1005.0,2.0,50.0,2,4975.124378109453
239,9th Phase JP Nagar,1890.0,2.0,85.0,3,4497.354497354498
240,9th Phase JP Nagar,1100.0,2.0,65.0,2,5909.090909090909
241,9th Phase JP Nagar,1080.0,2.0,37.0,2,3425.925925925926
242,9th Phase JP Nagar,1035.0,2.0,45.0,2,4347.826086956522
243,9th Phase JP Nagar,5000.0,4.0,290.0,4,5800.0
244,9th Phase JP Nagar,1164.0,2.0,56.0,2,4810.996563573884
245,9th Phase JP Nagar,1005.0,2.0,42.0,2,4179.104477611941
246,9th Phase JP Nagar,1127.0,2.0,50.0,2,4436.557231588287
247,9th Phase JP Nagar,1005.0,2.0,43.0,2,4278.606965174129
248,9th Phase JP Nagar,835.0,2.0,37.0,2,4431.137724550898
249,9th Phase JP Nagar,1050.0,2.0,39.0,2,3714.285714285714
250,9th Phase JP Nagar,660.0,2.0,27.0,2,4090.909090909091
251,9th Phase JP Nagar,600.0,1.0,20.0,1,3333.3333333333335
252,9th Phase JP Nagar,1466.0,2.0,71.0,2,4843.110504774898
253,9th Phase JP Nagar,1890.0,2.0,93.0,3,4920.6349206349205
254,9th Phase JP Nagar,1079.0,2.0,60.0,2,5560.704355885079
255,9th Phase JP Nagar,1480.0,2.0,80.0,2,5405.405405405405
256,9th Phase JP Nagar,1200.0,2.0,80.0,2,6666.666666666667
257,9th Phase JP Nagar,905.0,2.0,32.0,2,3535.9116022099447
258,9th Phase JP Nagar,1073.0,2.0,52.36,2,4879.77632805219
259,9th Phase JP Nagar,1719.3,2.0,88.0,3,5118.362124120282
260,9th Phase JP Nagar,1780.0,3.0,88.0,3,4943.820224719101
261,9th Phase JP Nagar,1300.0,2.0,58.0,3,4461.538461538462
262,9th Phase JP Nagar,1522.0,3.0,90.0,3,5913.272010512484
263,9th Phase JP Nagar,1571.0,3.0,65.0,3,4137.492043284532
264,9th Phase JP Nagar,1900.0,4.0,80.0,4,4210.526315789473
265,9th Phase JP Nagar,890.0,2.0,45.0,2,5056.179775280899
266,9th Phase JP Nagar,1240.0,2.0,39.89,3,3216.935483870968
267,9th Phase JP Nagar,5000.0,4.0,300.0,4,6000.0
268,9th Phase JP Nagar,1240.0,2.0,42.85,3,3455.6451612903224
269,9th Phase JP Nagar,1050.0,2.0,35.0,2,3333.3333333333335
270,9th Phase JP Nagar,1331.95,2.0,69.0,2,5180.374638687638
271,AECS Layout,1100.0,2.0,45.0,2,4090.909090909091
272,AECS Layout,1028.0,2.0,42.0,2,4085.603112840467
273,AECS Layout,1199.0,2.0,65.0,2,5421.184320266889
274,AECS Layout,1080.0,2.0,55.0,2,5092.592592592592
275,AECS Layout,1123.0,2.0,64.0,2,5699.020480854853
276,AECS Layout,1308.0,2.0,60.0,2,4587.155963302752
277,AECS Layout,1005.0,2.0,55.0,2,5472.636815920398
278,AECS Layout,2000.0,3.0,90.0,3,4500.0
279,Abbigere,985.0,2.0,40.39,2,4100.507614213198
280,Abbigere,2200.0,6.0,68.0,6,3090.909090909091
281,Abbigere,765.0,2.0,30.0,1,3921.5686274509803
282,Abbigere,880.0,2.0,35.0,2,3977.2727272727275
283,Abbigere,795.0,2.0,32.54,2,4093.0817610062895
284,Abbigere,1005.0,2.0,39.59,2,3939.303482587065
285,Abbigere,734.0,1.0,19.82,1,2700.272479564033
286,Abbigere,1260.0,2.0,45.0,3,3571.4285714285716
287,Abbigere,1020.0,2.0,41.82,2,4100.0
288,Abbigere,985.0,2.0,40.39,2,4100.507614213198
289,Abbigere,2500.0,6.0,81.0,6,3240.0
290,Abbigere,795.0,2.0,32.54,2,4093.0817610062895
291,Abbigere,1130.0,2.0,46.33,2,4100.0
292,Abbigere,795.0,1.0,32.6,2,4100.62893081761
293,Abbigere,3000.0,8.0,150.0,8,5000.0
294,Abbigere,985.0,2.0,38.92,2,3951.269035532995
295,Abbigere,1000.0,2.0,41.0,2,4100.0
296,Abbigere,995.0,2.0,40.8,2,4100.5025125628135
297,Abbigere,1020.0,2.0,40.8,2,3999.9999999999995
298,Akshaya Nagar,1388.0,2.0,57.0,2,4106.628242074928
299,Akshaya Nagar,1070.0,2.0,54.0,2,5046.728971962617
300,Akshaya Nagar,1280.0,2.0,58.0,2,4531.25
301,Akshaya Nagar,1662.0,3.0,85.1,3,5120.336943441636
302,Akshaya Nagar,1897.0,3.0,120.0,3,6325.77754348972
303,Akshaya Nagar,1410.0,2.0,75.0,3,5319.148936170212
304,Akshaya Nagar,1360.0,2.0,85.0,3,6250.0
305,Akshaya Nagar,1600.0,2.0,65.0,3,4062.5
306,Akshaya Nagar,1410.0,2.0,80.0,3,5673.758865248227
307,Akshaya Nagar,1662.0,3.0,85.0,3,5114.320096269555
308,Akshaya Nagar,1662.0,3.0,85.5,3,5144.404332129964
309,Akshaya Nagar,1280.0,2.0,60.0,2,4687.5
310,Akshaya Nagar,1666.0,3.0,95.0,3,5702.280912364946
311,Akshaya Nagar,1575.0,3.0,90.0,3,5714.285714285715
312,Akshaya Nagar,1430.0,2.0,75.0,3,5244.755244755244
313,Akshaya Nagar,1419.0,2.0,73.0,3,5144.46793516561
314,Akshaya Nagar,1280.0,2.0,60.0,2,4687.5
315,Akshaya Nagar,1200.0,2.0,50.0,2,4166.666666666667
316,Akshaya Nagar,1092.0,2.0,60.0,2,5494.505494505494
317,Akshaya Nagar,1690.0,3.0,85.0,3,5029.585798816568
318,Akshaya Nagar,1700.0,3.0,80.0,3,4705.882352941177
319,Akshaya Nagar,1897.0,4.0,93.0,3,4902.477596204533
320,Akshaya Nagar,1884.0,3.0,98.0,3,5201.698513800425
321,Akshaya Nagar,1314.0,2.0,68.8,2,5235.920852359209
322,Akshaya Nagar,1690.0,3.0,85.0,3,5029.585798816568
323,Akshaya Nagar,1265.0,2.0,67.0,2,5296.442687747036
324,Akshaya Nagar,1126.0,2.0,55.0,2,4884.547069271758
325,Akshaya Nagar,2300.0,4.0,102.0,3,4434.782608695652
326,Akshaya Nagar,1662.0,3.0,90.0,3,5415.162454873646
327,Akshaya Nagar,1420.0,2.0,75.0,3,5281.69014084507
328,Akshaya Nagar,1412.0,2.0,88.0,3,6232.294617563739
329,Akshaya Nagar,1434.0,3.0,84.0,3,5857.740585774059
330,Akshaya Nagar,1890.0,4.0,100.0,3,5291.005291005291
331,Akshaya Nagar,2650.0,3.0,125.0,3,4716.981132075472
332,Akshaya Nagar,1419.0,2.0,87.0,3,6131.0782241014795
333,Akshaya Nagar,1300.0,2.0,54.0,2,4153.846153846154
334,Akshaya Nagar,1690.0,3.0,85.0,3,5029.585798816568
335,Akshaya Nagar,1113.0,2.0,52.0,2,4672.057502246182
336,Akshaya Nagar,1820.0,4.0,95.0,3,5219.780219780219
337,Akshaya Nagar,1100.0,2.0,48.0,2,4363.636363636364
338,Akshaya Nagar,1896.0,3.0,102.0,3,5379.7468354430375
339,Akshaya Nagar,1300.0,2.0,66.0,2,5076.923076923077
340,Akshaya Nagar,1225.0,2.0,68.0,2,5551.0204081632655
341,Akshaya Nagar,1179.0,2.0,51.0,2,4325.699745547074
342,Akshaya Nagar,1421.0,2.0,73.0,3,5137.227304714989
343,Akshaya Nagar,1893.0,4.0,95.0,3,5018.489170628632
344,Akshaya Nagar,900.0,2.0,45.0,2,5000.0
345,Ambalipura,1105.0,2.0,75.0,2,6787.330316742082
346,Ambalipura,1800.0,3.0,110.0,3,6111.111111111111
347,Ambalipura,1150.0,2.0,80.0,2,6956.521739130435
348,Ambalipura,1250.0,2.0,66.25,2,5300.0
349,Ambalipura,1332.0,2.0,79.0,2,5930.930930930931
350,Ambalipura,1730.0,3.0,120.0,3,6936.416184971098
351,Ambalipura,3500.0,3.0,198.0,3,5657.142857142857
352,Ambalipura,1230.0,2.0,66.25,2,5386.178861788618
353,Ambalipura,1351.0,2.0,77.0,2,5699.481865284974
354,Ambalipura,2550.0,4.0,149.0,4,5843.137254901961
355,Ambalipura,1817.0,3.0,102.0,3,5613.648871766648
356,Ambalipura,2750.0,4.0,142.0,4,5163.636363636364
357,Ambalipura,1303.0,2.0,80.0,2,6139.677666922486
358,Ambalipura,1607.0,2.0,112.0,3,6969.508400746733
359,Ambalipura,770.0,1.0,43.82,1,5690.909090909091
360,Ambalipura,1700.0,2.0,76.0,2,4470.588235294118
361,Ambalipura,1060.0,2.0,58.5,2,5518.867924528302
362,Ambalipura,1650.0,3.0,100.0,3,6060.606060606061
363,Ambalipura,1607.0,2.0,112.0,3,6969.508400746733
364,Ambalipura,1198.0,2.0,80.0,2,6677.79632721202
365,Ambedkar Nagar,1935.0,4.0,130.0,3,6718.3462532299745
366,Ambedkar Nagar,1424.0,2.0,90.0,2,6320.224719101124
367,Ambedkar Nagar,2225.0,4.0,169.0,3,7595.505617977528
368,Ambedkar Nagar,1862.0,3.0,120.0,3,6444.68313641246
369,Ambedkar Nagar,1850.0,4.0,139.0,3,7513.513513513513
370,Ambedkar Nagar,1936.0,4.0,126.0,3,6508.264462809917
371,Ambedkar Nagar,1862.0,3.0,119.0,3,6390.977443609023
372,Ambedkar Nagar,1424.0,2.0,90.0,2,6320.224719101124
373,Ambedkar Nagar,2150.0,4.0,125.0,3,5813.953488372093
374,Ambedkar Nagar,3530.0,4.0,290.0,4,8215.297450424929
375,Ambedkar Nagar,1856.0,3.0,120.0,3,6465.517241379311
376,Ambedkar Nagar,1852.0,3.0,130.0,3,7019.438444924406
377,Ambedkar Nagar,1850.0,4.0,120.0,3,6486.486486486487
378,Ambedkar Nagar,1367.0,2.0,86.0,2,6291.148500365764
379,Ambedkar Nagar,3565.0,4.0,255.0,4,7152.875175315568
380,Ambedkar Nagar,1409.0,2.0,95.0,2,6742.370475514549
381,Ambedkar Nagar,1950.0,4.0,120.0,3,6153.846153846154
382,Ambedkar Nagar,1921.0,4.0,129.0,3,6715.252472670484
383,Ambedkar Nagar,1920.0,4.0,121.0,3,6302.083333333333
384,Ambedkar Nagar,1935.0,4.0,125.0,3,6459.948320413437
385,Ambedkar Nagar,1852.0,4.0,122.0,3,6587.473002159827
386,Ambedkar Nagar,1950.0,4.0,120.0,3,6153.846153846154
387,Ambedkar Nagar,1852.0,3.0,125.0,3,6749.460043196545
388,Ambedkar Nagar,1850.0,4.0,121.0,3,6540.540540540541
